TABLA,CONTEO,FECHA,FECHA_MAXIMA
WIS_WD_OPERATIONS_B,363,2022-06,"2022-06-30 20:06:53"
WIS_WD_OPERATIONS_B,1527,2022-07,"2022-07-30 23:07:13"
WIS_WD_OPERATIONS_B,1966,2022-08,"2022-08-31 15:08:01"
WIS_WD_OPERATIONS_B,1352,2022-09,"2022-09-30 23:09:48"
WIS_WD_OPERATIONS_B,1954,2022-10,"2022-10-31 21:10:24"
WIS_WD_OPERATIONS_B,21,2022-11,"2022-11-03 17:11:03"
WIS_WORK_AREAS_B,1,2022-06,"2022-06-07 09:06:46"
WIS_WORK_AREAS_B,50,2022-07,"2022-07-25 16:07:33"
WIS_WORK_AREAS_B,3,2022-08,"2022-08-30 21:08:37"
WIS_WORK_AREAS_B,145,2022-09,"2022-09-27 22:09:39"
WIS_WORK_AREAS_B,5,2022-10,"2022-10-28 17:10:49"
WIS_WORK_AREAS_TL,10,2022-06,"2022-06-07 09:06:46"
WIS_WORK_AREAS_TL,500,2022-07,"2022-07-25 16:07:33"
WIS_WORK_AREAS_TL,30,2022-08,"2022-08-30 21:08:37"
WIS_WORK_AREAS_TL,1450,2022-09,"2022-09-27 22:09:39"
WIS_WORK_AREAS_TL,50,2022-10,"2022-10-28 17:10:49"
WIS_WORK_CENTERS_B,8,2022-06,"2022-06-22 00:06:35"
WIS_WORK_CENTERS_B,26,2022-07,"2022-07-25 16:07:27"
WIS_WORK_CENTERS_B,106,2022-08,"2022-08-25 14:08:06"
WIS_WORK_CENTERS_B,277,2022-09,"2022-09-29 06:09:14"
WIS_WORK_CENTERS_B,40,2022-10,"2022-10-28 17:10:22"
